LAT Y LON:
Nodo 2053915331 -> [-12.0623081, -77.045969]
Nodo 2053915332 -> [-12.0623107, -77.0544698]
Nodo 1399063237 -> [-12.0630576, -77.0529906]
Nodo 2053915334 -> [-12.0624815, -77.0551872]
Nodo 2053915335 -> [-12.0625594, -77.0571539]
Nodo 1273643720 -> [-12.056533, -77.0541081]
Nodo 4172183997 -> [-12.0742745, -77.0418632]
Nodo 2053915338 -> [-12.0627672, -77.0575447]
Nodo 2053915339 -> [-12.0627984, -77.05245]
Nodo 2053915340 -> [-12.0628135, -77.0575253]
Nodo 2053915341 -> [-12.0628961, -77.052458]
Nodo 2053915342 -> [-12.0629053, -77.0561352]
Nodo 2053915343 -> [-12.0629156, -77.0521203]
Nodo 1399063248 -> [-12.063165, -77.054686]
Nodo 1399063249 -> [-12.0635698, -77.0531458]
Nodo 2053915346 -> [-12.0631149, -77.0466788]
Nodo 263389907 -> [-12.0818047, -77.0552614]
Nodo 263389908 -> [-12.0816039, -77.0551861]
Nodo 2053915349 -> [-12.0631895, -77.0466251]
Nodo 2053915350 -> [-12.063236, -77.0517747]
Nodo 1399063255 -> [-12.0634639, -77.0567942]
Nodo 263389912 -> [-12.081499, -77.0555075]
Nodo 1399063257 -> [-12.0639419, -77.0555895]
Nodo 2053915356 -> [-12.0633421, -77.052085]
Nodo 2059583610 -> [-12.078015, -77.0658813]
Nodo 1399063262 -> [-12.063874, -77.0569667]
Nodo 2053915359 -> [-12.0633802, -77.0465602]
Nodo 2053915361 -> [-12.0633904, -77.0519505]
Nodo 1399063266 -> [-12.0645046, -77.057219]
Nodo 1399063267 -> [-12.0647645, -77.0573785]
Nodo 2053915365 -> [-12.0634529, -77.0521383]
Nodo 1399063270 -> [-12.0646196, -77.0583029]
Nodo 2053915368 -> [-12.0634881, -77.0526178]
Nodo 2053915370 -> [-12.0635037, -77.0521703]
Nodo 2053915372 -> [-12.0637246, -77.0523473]
Nodo 1399063277 -> [-12.065115, -77.0586044]
Nodo 1399063278 -> [-12.0655652, -77.0587311]
Nodo 2981888125 -> [-12.0727094, -77.082991]
Nodo 1399063280 -> [-12.0625621, -77.0594499]
Nodo 2053915377 -> [-12.0639915, -77.0531167]
Nodo 1836204787 -> [-12.0585413, -77.0691499]
Nodo 1836204788 -> [-12.0585554, -77.0718868]
Nodo 1836204789 -> [-12.0586354, -77.0718614]
Nodo 2053915382 -> [-12.0642496, -77.0590727]
Nodo 1836204792 -> [-12.0587143, -77.067462]
Nodo 2053915385 -> [-12.0643465, -77.0582553]
Nodo 1836204794 -> [-12.059123, -77.067388]
Nodo 2053915387 -> [-12.0644024, -77.0592006]
Nodo 2489451261 -> [-12.0528726, -77.0423415]
Nodo 1836204798 -> [-12.06142, -77.0665196]
Nodo 2053915391 -> [-12.0644681, -77.0580038]
Nodo 2053915392 -> [-12.0644845, -77.0593425]
Nodo 2053915393 -> [-12.064515, -77.0579275]
Nodo 1836204802 -> [-12.0651686, -77.0779785]
Nodo 2053915395 -> [-12.0645342, -77.0582505]
Nodo 2053915396 -> [-12.0645646, -77.0594464]
Nodo 1836204805 -> [-12.0654277, -77.0747968]
